simID,time,cellID,cellType,x,y
0,0,1,1,7.24275208,8.673194291
0,0,2,0,9.531251955,8.571269564
0,0,3,1,11.71883655,8.569809997
0,0,4,1,13.92401053,8.569809997
0,0,5,1,16.12918451,8.569809997
0,0,6,0,18.32665884,8.569809997
0,0,7,1,20.53183281,8.569809997
0,0,8,0,22.73700679,8.569809997
0,0,9,0,24.92459138,8.571269564
0,0,10,0,27.12695072,8.575811263
0,0,11,0,7.242353226,12.4729677
0,0,12,0,9.519822282,12.37194636
0,0,13,1,11.72499626,12.37194636
0,0,14,0,13.92628619,12.36819742
0,0,15,1,16.12533469,12.37525109
0,0,16,0,18.33050866,12.37525109
0,0,17,0,20.52955716,12.36819742
0,0,18,1,22.73084709,12.37194636
0,0,19,1,24.93602106,12.37194636
0,0,20,0,27.13000095,12.38049762
0,0,21,0,7.231357093,16.28632757
0,0,22,0,9.515938246,16.18767079
0,0,23,1,11.72111222,16.18767079
0,0,24,1,13.92628619,16.18767079
0,0,25,0,16.13146016,16.18767079
0,0,26,0,18.32438318,16.18767079
0,0,27,1,20.52955716,16.18767079
0,0,28,0,22.73473113,16.18767079
0,0,29,1,24.9399051,16.18767079
0,0,30,1,27.14119504,16.19141973
0,0,31,0,7.23305092,20.09279388
0,0,32,0,9.517427314,20.00211776
0,0,33,0,11.72260129,20.00211776
0,0,34,1,13.92170064,19.99488971
0,0,35,0,16.12533469,19.99993198
0,0,36,1,18.33050866,19.99993198
0,0,37,0,20.53414271,19.99488971
0,0,38,1,22.73324206,20.00211776
0,0,39,0,24.93841603,20.00211776
0,0,40,1,27.13649307,19.98920312
0,0,41,1,7.232381876,23.90183786
0,0,42,1,9.522902134,23.80369415
0,0,43,0,11.71498674,23.80937683
0,0,44,0,13.92016071,23.80937683
0,0,45,0,16.12533469,23.80937683
0,0,46,0,18.33050866,23.80937683
0,0,47,0,20.53568263,23.80937683
0,0,48,1,22.74085661,23.80937683
0,0,49,0,24.93294121,23.80369415
0,0,50,0,27.13811518,23.80369415
0,0,51,0,8.420315147,9.855414857
0,0,52,1,10.61940772,9.862926802
0,0,53,0,12.81757372,9.849732175
0,0,54,1,15.0227477,9.849732175
0,0,55,1,17.22792167,9.849732175
0,0,56,1,19.43309565,9.849732175
0,0,57,1,21.63826962,9.849732175
0,0,58,1,23.83643562,9.862926802
0,0,59,1,26.03552819,9.855414857
0,0,60,1,28.31902348,9.764803486
0,0,61,0,8.421937259,13.66990589
0,0,62,1,10.6200143,13.65699125
0,0,63,1,12.82518828,13.65699125
0,0,64,1,15.02428763,13.6642193
0,0,65,0,17.22792167,13.66920554
0,0,66,0,19.43155572,13.6642193
0,0,67,1,21.63065507,13.65699125
0,0,68,0,23.83582905,13.65699125
0,0,69,0,26.03390608,13.66990589
0,0,70,0,28.32537941,13.56631513
0,0,71,0,8.413351259,17.47143822
0,0,72,1,10.61852523,17.47143822
0,0,73,1,12.82369921,17.47143822
0,0,74,1,15.02887318,17.47143822
0,0,75,0,17.22792167,17.47865039
0,0,76,0,19.42697017,17.47143822
0,0,77,1,21.63214414,17.47143822
0,0,78,1,23.83731812,17.47143822
0,0,79,0,26.04249209,17.47143822
0,0,80,0,28.32405444,17.37719959
0,0,81,0,8.417235295,21.28716265
0,0,82,1,10.62240927,21.28716265
0,0,83,0,12.82369921,21.29091158
0,0,84,1,15.0227477,21.28385792
0,0,85,0,17.22792167,21.28385792
0,0,86,1,19.43309565,21.28385792
0,0,87,1,21.63214414,21.29091158
0,0,88,0,23.83343408,21.28716265
0,0,89,1,26.03860805,21.28716265
0,0,90,1,28.31607711,21.18614131
0,0,91,1,8.428664968,25.08783945
0,0,92,1,10.62252237,25.09631367
0,0,93,0,12.82142354,25.08929901
0,0,94,0,15.02659752,25.08929901
0,0,95,0,17.22792167,25.09314427
0,0,96,1,19.42924583,25.08929901
0,0,97,1,21.6344198,25.08929901
0,0,98,0,23.83332098,25.09631367
0,0,99,1,26.02717837,25.08783945
0,0,100,1,28.31567825,24.98591472
0,250,1,1,7.978126202,9.92152504
0,250,2,0,9.825629137,9.54268549
0,250,3,1,12.02145328,9.300969447
0,250,4,1,14.26402307,9.481167464
0,250,5,1,16.585442,9.300321186
0,250,6,0,17.53127161,8.083992146
0,250,7,1,20.67350601,9.593813999
0,250,8,0,23.06279787,8.875990902
0,250,9,0,24.30160396,8.303691084
0,250,10,0,25.3548829,8.838069404
